Date : 2023-10-20 16:14:23
Directory : d:\CodeForEverthing\codeforwepro\miniprogram-1
Total : 169 files,  37710 codes, 28931 comments, 4337 blanks, all 70978 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript         |         63 |     22,058 |      5,461 |      3,491 |     31,010 |
| TypeScript         |         32 |     14,086 |     23,445 |        737 |     38,268 |
| JSON               |         26 |        918 |          0 |          6 |        924 |
| CSS                |         21 |        414 |         25 |         41 |        480 |
| wxml               |         20 |        198 |          0 |         61 |        259 |
| JSON with Comments |          1 |         30 |          0 |          1 |         31 |
| XML                |          6 |          6 |          0 |          0 |          6 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                   |        169 |     37,710 |     28,931 |      4,337 |     70,978 |
| . (Files)                                                                                                           |          6 |        826 |          6 |          4 |        836 |
| miniprogram                                                                                                         |        163 |     36,884 |     28,925 |      4,333 |     70,142 |
| miniprogram (Files)                                                                                                 |          4 |        106 |          6 |          2 |        114 |
| miniprogram\conponents                                                                                              |         12 |      1,290 |         86 |         81 |      1,457 |
| miniprogram\conponents\cart-goods                                                                                   |          4 |        416 |         28 |         27 |        471 |
| miniprogram\conponents\goods                                                                                        |          4 |        442 |         29 |         27 |        498 |
| miniprogram\conponents\shop-goods                                                                                   |          4 |        432 |         29 |         27 |        488 |
| miniprogram\icons                                                                                                   |          6 |          6 |          0 |          0 |          6 |
| miniprogram\miniprogram_npm                                                                                         |         61 |     22,025 |      5,453 |      3,487 |     30,965 |
| miniprogram\miniprogram_npm\@tencentcloud                                                                           |          1 |        177 |         14 |          8 |        199 |
| miniprogram\miniprogram_npm\@tencentcloud\chat-uikit-wechat                                                         |          1 |        177 |         14 |          8 |        199 |
| miniprogram\miniprogram_npm\accepts                                                                                 |          1 |         94 |        121 |         36 |        251 |
