Date : 2023-10-20 16:14:23
Directory : d:\CodeForEverthing\codeforwepro\miniprogram-1
Total : 169 files,  37710 codes, 28931 comments, 4337 blanks, all 70978 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| miniprogram\miniprogram_npm\array-flatten                                                                           |          1 |         39 |         27 |         11 |         77 |
| miniprogram\miniprogram_npm\body-parser                                                                             |          1 |        617 |        317 |        197 |      1,131 |
| miniprogram\miniprogram_npm\bytes                                                                                   |          1 |         94 |         60 |         29 |        183 |
| miniprogram\miniprogram_npm\call-bind                                                                               |          1 |         47 |          4 |          9 |         60 |
| miniprogram\miniprogram_npm\content-disposition                                                                     |          1 |        180 |        201 |         90 |        471 |
| miniprogram\miniprogram_npm\content-type                                                                            |          1 |        111 |         81 |         46 |        238 |
| miniprogram\miniprogram_npm\cookie                                                                                  |          1 |        151 |         78 |         54 |        283 |
| miniprogram\miniprogram_npm\cookie-signature                                                                        |          1 |         30 |         25 |          9 |         64 |
| miniprogram\miniprogram_npm\debug                                                                                   |          1 |        326 |        223 |        118 |        667 |
| miniprogram\miniprogram_npm\depd                                                                                    |          1 |        320 |        108 |        123 |        551 |
| miniprogram\miniprogram_npm\destroy                                                                                 |          1 |         96 |         92 |         34 |        222 |
| miniprogram\miniprogram_npm\ee-first                                                                                |          1 |         61 |         25 |         22 |        108 |
| miniprogram\miniprogram_npm\encodeurl                                                                               |          1 |         19 |         41 |         13 |         73 |
| miniprogram\miniprogram_npm\escape-html                                                                             |          1 |         52 |         24 |         15 |         91 |
| miniprogram\miniprogram_npm\etag                                                                                    |          1 |         61 |         57 |         26 |        144 |
| miniprogram\miniprogram_npm\express                                                                                 |          1 |      1,887 |      1,599 |        697 |      4,183 |
| miniprogram\miniprogram_npm\finalhandler                                                                            |          1 |        162 |        124 |         63 |        349 |
| miniprogram\miniprogram_npm\forwarded                                                                               |          1 |         52 |         35 |         16 |        103 |
| miniprogram\miniprogram_npm\fresh                                                                                   |          1 |         78 |         46 |         26 |        150 |
| miniprogram\miniprogram_npm\function-bind                                                                           |          1 |         56 |          3 |         14 |         73 |
| miniprogram\miniprogram_npm\get-intrinsic                                                                           |          1 |        317 |         15 |         32 |        364 |
| miniprogram\miniprogram_npm\has                                                                                     |          1 |         12 |          2 |          4 |         18 |
| miniprogram\miniprogram_npm\has-proto                                                                               |          1 |         17 |          2 |          5 |         24 |
| miniprogram\miniprogram_npm\has-symbols                                                                             |          1 |         44 |          9 |         18 |         71 |
| miniprogram\miniprogram_npm\http-errors                                                                             |          1 |        174 |         70 |         58 |        302 |
| miniprogram\miniprogram_npm\iconv-lite                                                                              |          1 |      3,194 |        266 |        458 |      3,918 |
| miniprogram\miniprogram_npm\inherits                                                                                |          1 |         44 |          6 |          2 |         52 |
| miniprogram\miniprogram_npm\ipaddr.js                                                                               |          1 |        626 |          2 |         58 |        686 |
| miniprogram\miniprogram_npm\media-typer                                                                             |          1 |        132 |        102 |         49 |        283 |
| miniprogram\miniprogram_npm\merge-descriptors                                                                       |          1 |         31 |         28 |         14 |         73 |
| miniprogram\miniprogram_npm\methods                                                                                 |          1 |         47 |         24 |         11 |         82 |
| miniprogram\miniprogram_npm\mime                                                                                    |          1 |         64 |         40 |         20 |        124 |
| miniprogram\miniprogram_npm\mime-db                                                                                 |          1 |      8,532 |         11 |          4 |      8,547 |
| miniprogram\miniprogram_npm\mime-types                                                                              |          1 |         98 |         61 |         42 |        201 |
| miniprogram\miniprogram_npm\ms                                                                                      |          1 |        111 |         42 |         12 |        165 |
| miniprogram\miniprogram_npm\negotiator                                                                              |          1 |        481 |        263 |        189 |        933 |
| miniprogram\miniprogram_npm\object-inspect                                                                          |          1 |        487 |          6 |         40 |        533 |
| miniprogram\miniprogram_npm\on-finished                                                                             |          1 |        107 |         90 |         50 |        247 |
| miniprogram\miniprogram_npm\parseurl                                                                                |          1 |         86 |         54 |         31 |        171 |
| miniprogram\miniprogram_npm\path-to-regexp                                                                          |          1 |         90 |         29 |         23 |        142 |
| miniprogram\miniprogram_npm\proxy-addr                                                                              |          1 |        178 |         94 |         68 |        340 |
| miniprogram\miniprogram_npm\qs                                                                                      |          1 |        727 |         28 |        145 |        900 |
| miniprogram\miniprogram_npm\range-parser                                                                            |          1 |         86 |         55 |         34 |        175 |
| miniprogram\miniprogram_npm\raw-body                                                                                |          1 |        195 |         87 |         60 |        342 |
| miniprogram\miniprogram_npm\safe-buffer                                                                             |          1 |         62 |          7 |          9 |         78 |
| miniprogram\miniprogram_npm\safer-buffer                                                                            |          1 |         71 |          5 |         14 |         90 |
| miniprogram\miniprogram_npm\send                                                                                    |          1 |        600 |        356 |        200 |      1,156 |
| miniprogram\miniprogram_npm\serve-static                                                                            |          1 |        122 |         61 |         40 |        223 |
| miniprogram\miniprogram_npm\setprototypeof                                                                          |          1 |         23 |          3 |          4 |         30 |
| miniprogram\miniprogram_npm\side-channel                                                                            |          1 |        113 |         16 |          8 |        137 |
| miniprogram\miniprogram_npm\statuses                                                                                |          1 |        141 |         53 |         33 |        227 |
| miniprogram\miniprogram_npm\tim-profanity-filter-plugin                                                             |          1 |         13 |         14 |          1 |         28 |
| miniprogram\miniprogram_npm\tim-upload-plugin                                                                       |          1 |         11 |          2 |          1 |         14 |
| miniprogram\miniprogram_npm\tim-wx-sdk                                                                              |          1 |         11 |          2 |          1 |         14 |
| miniprogram\miniprogram_npm\toidentifier                                                                            |          1 |         20 |         18 |          7 |         45 |
| miniprogram\miniprogram_npm\type-is                                                                                 |          1 |        107 |        132 |         40 |        279 |
| miniprogram\miniprogram_npm\unpipe                                                                                  |          1 |         41 |         24 |         17 |         82 |
| miniprogram\miniprogram_npm\utils-merge                                                                             |          1 |         18 |         16 |          2 |         36 |
| miniprogram\miniprogram_npm\vary                                                                                    |          1 |         82 |         53 |         27 |        162 |
| miniprogram\pages                                                                                                   |         68 |      1,588 |        542 |        406 |      2,536 |
| miniprogram\pages\Bookshell                                                                                         |          4 |        225 |         40 |         27 |        292 |
| miniprogram\pages\ChangeSelf                                                                                        |          4 |         44 |         30 |         18 |         92 |
| miniprogram\pages\good                                                                                              |          4 |        168 |         38 |         28 |        234 |
| miniprogram\pages\index                                                                                             |          4 |         23 |         28 |         21 |         72 |
| miniprogram\pages\logs                                                                                              |          4 |         34 |          2 |          4 |         40 |
| miniprogram\pages\个人资料设置页面                                                                                          |          4 |         44 |         30 |         20 |         94 |
| miniprogram\pages\主页1                                                                                               |          4 |        162 |         36 |         33 |        231 |
| miniprogram\pages\主页2                                                                                               |          4 |         61 |         31 |         28 |        120 |
| miniprogram\pages\主页3                                                                                               |          4 |         60 |         31 |         28 |        119 |
| miniprogram\pages\主页4                                                                                               |          4 |        188 |         43 |         36 |        267 |
| miniprogram\pages\出书页                                                                                               |          4 |         51 |         30 |         20 |        101 |
| miniprogram\pages\商品界面                                                                                              |          4 |        118 |         31 |         27 |        176 |
| miniprogram\pages\搜索界面                                                                                              |          4 |        108 |         38 |         28 |        174 |
| miniprogram\pages\搜索结果界面                                                                                            |          4 |        177 |         44 |         28 |        249 |
| miniprogram\pages\支付页面                                                                                              |          4 |         55 |         30 |         19 |        104 |
| miniprogram\pages\收书页                                                                                               |          4 |         44 |         30 |         20 |         94 |
| miniprogram\pages\聊天界面                                                                                              |          4 |         26 |         30 |         21 |         77 |
| miniprogram\typings                                                                                                 |         10 |     11,844 |     22,836 |        351 |     35,031 |
| miniprogram\typings (Files)                                                                                         |          1 |          6 |          1 |          1 |          8 |
| miniprogram\typings\types                                                                                           |          9 |     11,838 |     22,835 |        350 |     35,023 |
| miniprogram\typings\types (Files)                                                                                   |          1 |          0 |          1 |          1 |          2 |
| miniprogram\typings\types\wx                                                                                        |          8 |     11,838 |     22,834 |        349 |     35,021 |
| miniprogram\utils                                                                                                   |          1 |         17 |          0 |          3 |         20 |
| miniprogram\windfun                                                                                                 |          1 |          8 |          2 |          3 |         13 |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                            | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\CodeForEverthing\codeforwepro\miniprogram-1\.eslintrc.js                                                         | JavaScript         |         25 |          6 |          1 |         32 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\app.json                                                 | JSON               |         63 |          0 |          0 |         63 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\app.ts                                                   | TypeScript         |         27 |          5 |          2 |         34 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\app.wxss                                                 | CSS                |          9 |          1 |          0 |         10 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\conponents\cart-goods\cart-goods.json                    | JSON               |          6 |          0 |          1 |          7 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\conponents\cart-goods\cart-goods.ts                      | TypeScript         |        353 |         28 |         24 |        405 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\conponents\cart-goods\cart-goods.wxml                    | wxml               |         13 |          0 |          2 |         15 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\conponents\cart-goods\cart-goods.wxss                    | CSS                |         44 |          0 |          0 |         44 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\conponents\goods\goods.json                              | JSON               |          6 |          0 |          1 |          7 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\conponents\goods\goods.ts                                | TypeScript         |        355 |         28 |         24 |        407 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\conponents\goods\goods.wxml                              | wxml               |         14 |          0 |          1 |         15 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\conponents\goods\goods.wxss                              | CSS                |         67 |          1 |          1 |         69 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\conponents\shop-goods\shop-goods.json                    | JSON               |          6 |          0 |          1 |          7 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\conponents\shop-goods\shop-goods.ts                      | TypeScript         |        355 |         28 |         23 |        406 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\conponents\shop-goods\shop-goods.wxml                    | wxml               |         12 |          0 |          2 |         14 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\conponents\shop-goods\shop-goods.wxss                    | CSS                |         59 |          1 |          1 |         61 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\icons\二手购物.svg                                           | XML                |          1 |          0 |          0 |          1 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\icons\前往书架.svg                                           | XML                |          1 |          0 |          0 |          1 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\icons\咸菜1.svg                                            | XML                |          1 |          0 |          0 |          1 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\icons\头像5.svg                                            | XML                |          1 |          0 |          0 |          1 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\icons\收书.svg                                             | XML                |          1 |          0 |          0 |          1 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\icons\编辑资料.svg                                           | XML                |          1 |          0 |          0 |          1 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\@tencentcloud\chat-uikit-wechat\index.js | JavaScript         |        177 |         14 |          8 |        199 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\accepts\index.js                         | JavaScript         |         94 |        121 |         36 |        251 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\array-flatten\index.js                   | JavaScript         |         39 |         27 |         11 |         77 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\body-parser\index.js                     | JavaScript         |        617 |        317 |        197 |      1,131 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\bytes\index.js                           | JavaScript         |         94 |         60 |         29 |        183 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\call-bind\index.js                       | JavaScript         |         47 |          4 |          9 |         60 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\content-disposition\index.js             | JavaScript         |        180 |        201 |         90 |        471 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\content-type\index.js                    | JavaScript         |        111 |         81 |         46 |        238 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\cookie-signature\index.js                | JavaScript         |         30 |         25 |          9 |         64 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\cookie\index.js                          | JavaScript         |        151 |         78 |         54 |        283 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\debug\index.js                           | JavaScript         |        326 |        223 |        118 |        667 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\depd\index.js                            | JavaScript         |        320 |        108 |        123 |        551 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\destroy\index.js                         | JavaScript         |         96 |         92 |         34 |        222 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\ee-first\index.js                        | JavaScript         |         61 |         25 |         22 |        108 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\encodeurl\index.js                       | JavaScript         |         19 |         41 |         13 |         73 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\escape-html\index.js                     | JavaScript         |         52 |         24 |         15 |         91 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\etag\index.js                            | JavaScript         |         61 |         57 |         26 |        144 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\express\index.js                         | JavaScript         |      1,887 |      1,599 |        697 |      4,183 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\finalhandler\index.js                    | JavaScript         |        162 |        124 |         63 |        349 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\forwarded\index.js                       | JavaScript         |         52 |         35 |         16 |        103 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\fresh\index.js                           | JavaScript         |         78 |         46 |         26 |        150 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\function-bind\index.js                   | JavaScript         |         56 |          3 |         14 |         73 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\get-intrinsic\index.js                   | JavaScript         |        317 |         15 |         32 |        364 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\has-proto\index.js                       | JavaScript         |         17 |          2 |          5 |         24 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\has-symbols\index.js                     | JavaScript         |         44 |          9 |         18 |         71 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\has\index.js                             | JavaScript         |         12 |          2 |          4 |         18 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\http-errors\index.js                     | JavaScript         |        174 |         70 |         58 |        302 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\iconv-lite\index.js                      | JavaScript         |      3,194 |        266 |        458 |      3,918 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\inherits\index.js                        | JavaScript         |         44 |          6 |          2 |         52 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\ipaddr.js\index.js                       | JavaScript         |        626 |          2 |         58 |        686 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\media-typer\index.js                     | JavaScript         |        132 |        102 |         49 |        283 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\merge-descriptors\index.js               | JavaScript         |         31 |         28 |         14 |         73 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\methods\index.js                         | JavaScript         |         47 |         24 |         11 |         82 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\mime-db\index.js                         | JavaScript         |      8,532 |         11 |          4 |      8,547 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\mime-types\index.js                      | JavaScript         |         98 |         61 |         42 |        201 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\mime\index.js                            | JavaScript         |         64 |         40 |         20 |        124 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\ms\index.js                              | JavaScript         |        111 |         42 |         12 |        165 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\negotiator\index.js                      | JavaScript         |        481 |        263 |        189 |        933 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\object-inspect\index.js                  | JavaScript         |        487 |          6 |         40 |        533 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\on-finished\index.js                     | JavaScript         |        107 |         90 |         50 |        247 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\parseurl\index.js                        | JavaScript         |         86 |         54 |         31 |        171 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\path-to-regexp\index.js                  | JavaScript         |         90 |         29 |         23 |        142 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\proxy-addr\index.js                      | JavaScript         |        178 |         94 |         68 |        340 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\qs\index.js                              | JavaScript         |        727 |         28 |        145 |        900 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\range-parser\index.js                    | JavaScript         |         86 |         55 |         34 |        175 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\raw-body\index.js                        | JavaScript         |        195 |         87 |         60 |        342 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\safe-buffer\index.js                     | JavaScript         |         62 |          7 |          9 |         78 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\safer-buffer\index.js                    | JavaScript         |         71 |          5 |         14 |         90 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\send\index.js                            | JavaScript         |        600 |        356 |        200 |      1,156 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\serve-static\index.js                    | JavaScript         |        122 |         61 |         40 |        223 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\setprototypeof\index.js                  | JavaScript         |         23 |          3 |          4 |         30 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\side-channel\index.js                    | JavaScript         |        113 |         16 |          8 |        137 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\statuses\index.js                        | JavaScript         |        141 |         53 |         33 |        227 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\tim-profanity-filter-plugin\index.js     | JavaScript         |         13 |         14 |          1 |         28 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\tim-upload-plugin\index.js               | JavaScript         |         11 |          2 |          1 |         14 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\tim-wx-sdk\index.js                      | JavaScript         |         11 |          2 |          1 |         14 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\toidentifier\index.js                    | JavaScript         |         20 |         18 |          7 |         45 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\type-is\index.js                         | JavaScript         |        107 |        132 |         40 |        279 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\unpipe\index.js                          | JavaScript         |         41 |         24 |         17 |         82 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\utils-merge\index.js                     | JavaScript         |         18 |         16 |          2 |         36 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\vary\index.js                            | JavaScript         |         82 |         53 |         27 |        162 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\Bookshell\Bookshell.json                           | JSON               |          5 |          0 |          0 |          5 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\Bookshell\Bookshell.ts                             | TypeScript         |        149 |         37 |         21 |        207 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\Bookshell\Bookshell.wxml                           | wxml               |         28 |          0 |          0 |         28 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\Bookshell\Bookshell.wxss                           | CSS                |         43 |          3 |          6 |         52 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\ChangeSelf\ChangeSelf.json                         | JSON               |          3 |          0 |          0 |          3 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\ChangeSelf\ChangeSelf.ts                           | TypeScript         |         39 |         29 |         18 |         86 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\ChangeSelf\ChangeSelf.wxml                         | wxml               |          2 |          0 |          0 |          2 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\ChangeSelf\ChangeSelf.wxss                         | CSS                |          0 |          1 |          0 |          1 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\good\good.json                                     | JSON               |          3 |          0 |          1 |          4 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\good\good.ts                                       | TypeScript         |        109 |         36 |         20 |        165 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\good\good.wxml                                     | wxml               |         24 |          0 |          1 |         25 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\good\good.wxss                                     | CSS                |         32 |          2 |          6 |         40 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\index\index.json                                   | JSON               |          3 |          0 |          0 |          3 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\index\index.ts                                     | TypeScript         |         20 |         28 |         18 |         66 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\index\index.wxml                                   | wxml               |          0 |          0 |          2 |          2 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\index\index.wxss                                   | CSS                |          0 |          0 |          1 |          1 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\logs\logs.json                                     | JSON               |          4 |          0 |          0 |          4 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\logs\logs.ts                                       | TypeScript         |         16 |          2 |          2 |         20 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\logs\logs.wxml                                     | wxml               |          6 |          0 |          1 |          7 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\logs\logs.wxss                                     | CSS                |          8 |          0 |          1 |          9 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\个人资料设置页面\个人资料设置页面.json                             | JSON               |          3 |          0 |          0 |          3 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\个人资料设置页面\个人资料设置页面.ts                               | TypeScript         |         39 |         29 |         19 |         87 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\个人资料设置页面\个人资料设置页面.wxml                             | wxml               |          2 |          0 |          1 |          3 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\个人资料设置页面\个人资料设置页面.wxss                             | CSS                |          0 |          1 |          0 |          1 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\主页1\主页1.json                                       | JSON               |          5 |          0 |          0 |          5 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\主页1\主页1.ts                                         | TypeScript         |         77 |         33 |         18 |        128 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\主页1\主页1.wxml                                       | wxml               |         37 |          0 |          9 |         46 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\主页1\主页1.wxss                                       | CSS                |         43 |          3 |          6 |         52 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\主页2\主页2.json                                       | JSON               |          3 |          0 |          0 |          3 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\主页2\主页2.ts                                         | TypeScript         |         38 |         29 |         20 |         87 |
| d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\主页2\主页2.wxml                                       | wxml               |          1 |          0 |          3 |          4 |
